transaction_id,customer_id,customer_name,customer_age,gender,product_id,product_name,product_category,quantity,price,payment_mode,purchase_date,time_of_purchase,status,total_amount
TXN334554,CUST3665,Mannat Rana,35,Female,P2169,Wardrobe,Furniture,3,582,EMI,2023-02-13,10:29:29,pending,1746
TXN355460,CUST3196,Diya Sampath,31,Male,P3952,Rice,Groceries,2,4842,Credit Card,2023-06-11,01:00:44,returned,9684
TXN822159,CUST3539,Dhanuk Babu,22,Male,P6478,Dining Table,Furniture,5,13865,Credit Card,2023-02-13,01:35:42,cancelled,69325
TXN806958,CUST5485,Zeeshan Sachdeva,51,Male,P2348,Rice,Groceries,5,9305,UPI,2023-12-23,04:25:06,cancelled,46525
TXN559873,CUST1894,Hiran Tandon,34,Female,P1606,Wallet,Accessories,1,2065,EMI,2023-11-22,22:31:57,pending,2065
TXN458404,CUST2544,Ryan Shah,50,Male,P3517,Jacket,Clothing,4,9988,Credit Card,2023-02-25,16:36:39,returned,39952
TXN519137,CUST3192,Gatik Khare,28,Female,P2079,Vegetables,Groceries,2,3570,Debit Card,2023-03-25,09:05:33,delivered,7140
TXN305804,CUST7367,Anaya Talwar,51,Male,P4836,Sofa,Furniture,1,3393,UPI,2023-09-09,07:33:19,cancelled,3393
TXN922893,CUST3715,Tarini Walia,48,Male,P2037,Notebook,Books,4,13812,Cash,2023-08-20,00:20:54,returned,55248
TXN747619,CUST2033,Advik Krishnan,47,Male,P5042,Wallet,Accessories,2,2772,Credit Card,2023-10-16,15:20:10,cancelled,5544
TXN461516,CUST6771,Reyansh Swamy,31,Male,P8524,Vegetables,Groceries,4,2944,UPI,2023-01-04,03:17:13,cancelled,11776
TXN323992,CUST6473,Indranil Talwar,31,Male,P3478,T-Shirt,Clothing,3,8052,Debit Card,2023-10-10,20:18:12,cancelled,24156
TXN852404,CUST7277,Onkar Sachdeva,37,Male,P7986,Shirt,Clothing,4,6612,Credit Card,2023-06-26,01:24:03,pending,26448
TXN719373,CUST1163,Kabir Tandon,55,Female,P5574,Chair,Furniture,2,6024,Debit Card,2023-09-23,08:37:45,returned,12048
TXN960187,CUST3291,Mannat Contractor,33,Male,P1779,Magazine,Books,3,5304,EMI,2023-10-28,02:27:14,returned,15912
TXN113946,CUST9925,Yuvaan Setty,46,Female,P4863,Notebook,Books,2,3598,Cash,2023-01-09,12:47:10,pending,7196
TXN243121,CUST5470,Anika Iyer,31,Female,P8313,Watch,Accessories,2,1540,UPI,2023-04-03,08:04:34,returned,3080
TXN488070,CUST5670,Samarth Bose,40,Female,P7392,Belt,Accessories,3,7563,Debit Card,2023-09-25,08:45:12,returned,22689
TXN370130,CUST6582,Devansh Khosla,57,Female,P2971,Jeans,Clothing,5,15090,Debit Card,2023-04-23,07:15:07,delivered,75450
TXN896063,CUST2304,Saira Dayal,45,Female,P6180,Rice,Groceries,3,2691,Debit Card,2023-10-19,18:36:51,delivered,8073
TXN561456,CUST5469,Shanaya Bhatnagar,58,Female,P4303,Dining Table,Furniture,5,10470,UPI,2023-02-11,02:12:33,returned,52350
TXN352519,CUST9671,Mishti Bakshi,41,Female,P9603,Belt,Accessories,4,15120,Cash,2023-05-24,13:22:06,cancelled,60480
TXN897531,CUST9201,Indrans Khalsa,35,Female,P1978,Fruits,Groceries,1,535,Cash,2023-02-26,10:01:53,cancelled,535
TXN231506,CUST4053,Seher Randhawa,59,Female,P3770,Dining Table,Furniture,3,633,EMI,2023-07-08,00:23:48,cancelled,1899
TXN628967,CUST1619,Anahi Tak,31,Female,P4468,Magazine,Books,5,8125,UPI,2023-01-16,00:35:55,cancelled,40625
TXN872039,CUST1442,Adira Desai,24,Female,P8521,Wardrobe,Furniture,5,10405,Debit Card,2023-01-07,14:40:02,cancelled,52025
TXN737152,CUST1003,Mahika Saini,35,Male,P3228,Bed,Furniture,4,13332,Credit Card,2023-10-14,20:59:58,pending,53328
TXN935609,CUST5990,Divij Mahal,22,Female,P9969,Smartwatch,Electronics,5,22790,UPI,2023-06-12,08:00:50,pending,113950
TXN403076,CUST9221,Anahita Shenoy,46,Female,P3451,Chair,Furniture,5,22610,Credit Card,2023-10-27,06:03:17,cancelled,113050
TXN933803,CUST9950,Manikya Rastogi,56,Female,P3762,Wardrobe,Furniture,4,4848,Debit Card,2023-09-20,02:44:16,delivered,19392
TXN549684,CUST4260,Anaya Behl,25,Female,P9823,Novel,Books,2,2226,Credit Card,2023-11-23,01:09:19,pending,4452
TXN619811,CUST7843,Mehul Saraf,24,Female,P5699,Jacket,Clothing,5,8560,Credit Card,2023-10-24,01:56:07,cancelled,42800
TXN614390,CUST5577,Kashvi Comar,23,Female,P9142,Novel,Books,3,1482,Credit Card,2023-05-21,07:26:05,cancelled,4446
TXN100891,CUST6373,Shaan Sha,26,Female,P9760,Sofa,Furniture,2,8820,Credit Card,2023-08-06,11:52:37,cancelled,17640
TXN345946,CUST2559,Pihu Sandal,58,Male,P5890,Rice,Groceries,4,18940,Credit Card,2023-12-29,00:48:16,delivered,75760
TXN280877,CUST5569,Seher Hegde,46,Female,P7841,Textbook,Books,3,13578,Credit Card,2023-10-18,11:37:08,pending,40734
TXN149271,CUST6473,Indranil Talwar,31,Male,P6967,Sunglasses,Accessories,4,10156,UPI,2023-10-10,15:26:26,delivered,40624
TXN226133,CUST1988,Dhanush Bhardwaj,42,Female,P2820,Rice,Groceries,5,12875,Credit Card,2023-09-10,22:01:54,delivered,64375
TXN825083,CUST8364,Advika Subramaniam,44,Male,P2286,Fruits,Groceries,2,4916,UPI,2023-07-01,11:12:53,delivered,9832
TXN749833,CUST7216,Indrajit Johal,20,Female,P7010,Notebook,Books,3,4962,Credit Card,2023-07-25,00:48:25,returned,14886
TXN204873,CUST2729,Biju Mand,60,Male,P3020,Sofa,Furniture,5,5700,UPI,2023-01-11,21:34:38,returned,28500
TXN792702,CUST3096,Shaan Bhandari,19,Female,P4452,Sweater,Clothing,3,2796,Credit Card,2023-08-18,20:56:57,returned,8388
TXN790991,CUST2729,Biju Mand,60,Male,P1830,Belt,Accessories,5,2905,UPI,2023-04-27,11:46:19,returned,14525
TXN506781,CUST5456,Nirvaan Char,41,Male,P9823,Sweater,Clothing,3,4683,Debit Card,2023-10-24,17:42:12,delivered,14049
TXN679594,CUST5272,Keya Krishna,37,Male,P6708,Novel,Books,5,9230,Credit Card,2023-07-30,12:23:06,returned,46150
TXN287548,CUST2443,Rania Sekhon,54,Male,P1358,Sweater,Clothing,1,1150,UPI,2023-09-06,23:36:22,returned,1150
TXN986891,CUST7409,Rohan Krish,25,Male,P3318,Novel,Books,1,4455,Credit Card,2023-12-11,01:12:29,pending,4455
TXN825800,CUST5965,Uthkarsh Bajaj,18,Male,P6337,Sunglasses,Accessories,3,14379,EMI,2023-10-15,19:59:35,returned,43137
TXN259346,CUST1442,Adira Desai,24,Female,P1768,Laptop,Electronics,2,5582,UPI,2023-06-06,07:07:34,delivered,11164
TXN290859,CUST1255,Riya Som,57,Male,P9714,Handbag,Accessories,5,17555,Credit Card,2023-07-05,16:13:33,delivered,87775
TXN980068,CUST4497,Pari Vyas,40,Male,P5863,Wardrobe,Furniture,1,4056,Cash,2023-03-27,08:52:41,delivered,4056
TXN686082,CUST3113,Taran Joshi,25,Male,P2617,Fruits,Groceries,3,10926,Credit Card,2023-01-27,04:05:12,pending,32778
TXN903773,CUST2428,Divit Khatri,27,Female,P7451,Wallet,Accessories,4,12424,EMI,2023-03-24,06:05:54,returned,49696
TXN899480,CUST1514,Prerak Tiwari,20,Female,P7189,Laptop,Electronics,5,2915,UPI,2023-04-25,06:24:06,delivered,14575
TXN539766,CUST5732,Shalv Swamy,51,Male,P6001,Fruits,Groceries,2,1606,Credit Card,2023-10-29,15:32:54,pending,3212
TXN548549,CUST4486,Yakshit Kibe,31,Male,P4398,Vegetables,Groceries,1,4319,Debit Card,2023-09-23,23:53:42,delivered,4319
TXN295878,CUST7973,Saira Khare,23,Male,P2018,Sweater,Clothing,4,748,Debit Card,2023-11-17,03:17:27,returned,2992
TXN934505,CUST2976,Ranbir Kale,39,Female,P9602,Sunglasses,Accessories,3,10452,EMI,2023-02-17,07:33:52,returned,31356
TXN190686,CUST3826,Manikya Walia,57,Female,P5077,Chair,Furniture,5,13815,Debit Card,2023-03-30,13:59:44,cancelled,69075
TXN932905,CUST1534,Manjari Sachar,51,Female,P1072,Tablet,Electronics,5,4715,UPI,2023-08-24,01:42:59,pending,23575
TXN138033,CUST6325,Vanya Buch,46,Male,P8980,Handbag,Accessories,1,173,UPI,2023-09-14,00:13:57,pending,173
TXN631847,CUST7489,Adira Yadav,44,Female,P9963,Sunglasses,Accessories,4,2464,UPI,2023-10-14,01:45:49,cancelled,9856
TXN711804,CUST6404,Lavanya Kara,31,Female,P9769,Laptop,Electronics,2,8456,Debit Card,2023-01-18,06:26:06,returned,16912
TXN726231,CUST7216,Indrajit Johal,20,Female,P2336,Tablet,Electronics,3,9531,EMI,2023-12-07,02:23:15,cancelled,28593
TXN747881,CUST6330,Jiya Bhatia,40,Female,P5694,Jeans,Clothing,5,21220,Cash,2023-10-05,00:08:27,returned,106100
TXN903857,CUST5513,Uthkarsh Aurora,37,Female,P2059,Handbag,Accessories,4,17200,Credit Card,2023-07-02,22:29:30,returned,68800
TXN147463,CUST5825,Sahil Mahal,50,Female,P3834,Dining Table,Furniture,1,4769,UPI,2023-06-01,02:19:00,returned,4769
TXN611090,CUST1394,Jayesh Brar,30,Female,P6368,Chair,Furniture,2,8082,Debit Card,2023-11-29,06:34:59,cancelled,16164
TXN951206,CUST3434,Nitara Chana,50,Female,P3524,Fruits,Groceries,2,4754,Cash,2023-07-28,20:09:15,returned,9508
TXN964140,CUST1580,Dhanuk Deep,41,Male,P2638,Smartphone,Electronics,4,9176,Debit Card,2023-07-08,17:17:17,pending,36704
TXN468585,CUST7843,Mehul Saraf,24,Female,P2302,Sweater,Clothing,3,3897,Credit Card,2023-08-12,13:13:31,cancelled,11691
TXN763432,CUST8315,Indrajit Shanker,39,Male,P8484,T-Shirt,Clothing,4,9228,Credit Card,2023-11-20,22:10:35,cancelled,36912
TXN626243,CUST3890,Shalv Sen,56,Female,P9820,Notebook,Books,5,11455,Credit Card,2023-12-02,10:33:37,cancelled,57275
TXN562385,CUST8459,Shamik Sampath,30,Female,P4201,Handbag,Accessories,3,5829,Credit Card,2023-12-10,08:10:21,cancelled,17487
TXN961680,CUST2729,Biju Mand,60,Male,P6737,Wardrobe,Furniture,5,19900,Credit Card,2023-05-17,18:02:59,returned,99500
TXN568891,CUST8477,Kiara Bahri,34,Female,P4295,Jeans,Clothing,4,17200,Cash,2023-02-11,20:46:19,delivered,68800
TXN534635,CUST4738,Aayush Chandra,30,Male,P4144,Smartwatch,Electronics,4,18448,Credit Card,2023-06-20,03:51:40,returned,73792
TXN129320,CUST4627,Manjari Dara,54,Female,P3404,Comics,Books,4,14480,Credit Card,2023-01-20,16:18:38,delivered,57920
TXN298775,CUST7540,Anahi Mangal,20,Female,P8450,Shirt,Clothing,3,13008,Cash,2023-02-23,17:38:08,returned,39024
TXN169611,CUST7427,Zeeshan Barad,51,Male,P4409,Rice,Groceries,4,12504,Debit Card,2023-01-16,06:45:44,delivered,50016
TXN540713,CUST4486,Yakshit Kibe,31,Male,P5283,Vegetables,Groceries,4,11864,Cash,2023-07-04,03:25:37,returned,47456
TXN242887,CUST2129,Trisha Shah,47,Female,P1868,Dining Table,Furniture,2,4608,Debit Card,2023-07-04,16:03:23,delivered,9216
TXN840212,CUST5990,Divij Mahal,22,Female,P7601,Vegetables,Groceries,1,2276,Credit Card,2023-02-22,19:07:39,cancelled,2276
TXN876705,CUST7801,Drishya Mane,20,Male,P2327,Notebook,Books,4,5140,Cash,2023-04-22,00:44:59,delivered,20560
TXN304927,CUST8426,Mahika Bali,21,Male,P2981,Watch,Accessories,1,1465,UPI,2023-06-22,08:28:09,delivered,1465
TXN408664,CUST7564,Adira Verma,32,Female,P5437,Rice,Groceries,1,1291,Credit Card,2023-06-06,18:06:43,returned,1291
TXN762327,CUST9993,Heer Bhatia,47,Female,P3003,Comics,Books,1,4258,EMI,2023-11-15,20:49:49,delivered,4258
TXN712724,CUST8285,Shray Gaba,47,Female,P7729,Comics,Books,1,896,Credit Card,2023-03-03,06:43:40,cancelled,896
TXN994316,CUST9620,Yuvaan Sastry,34,Male,P3093,Fruits,Groceries,1,4421,UPI,2023-02-13,12:16:33,pending,4421
TXN533467,CUST2304,Saira Dayal,45,Female,P1894,Rice,Groceries,1,4347,Credit Card,2023-11-14,04:36:44,returned,4347
TXN657087,CUST4260,Anaya Behl,25,Female,P3063,Smartwatch,Electronics,2,3622,Cash,2023-02-23,01:17:47,cancelled,7244
TXN960139,CUST1563,Divit Jha,56,Male,P9972,Milk,Groceries,3,5604,Credit Card,2023-11-02,00:48:33,returned,16812
TXN686850,CUST1654,Chirag Varkey,58,Male,P6046,Textbook,Books,2,3110,Credit Card,2023-07-08,20:22:57,cancelled,6220
TXN178148,CUST2974,Jayant Bansal,55,Male,P5223,Sunglasses,Accessories,1,4778,Credit Card,2023-11-02,01:55:31,returned,4778
TXN461651,CUST4053,Seher Randhawa,59,Female,P1446,Watch,Accessories,5,20685,Credit Card,2023-03-01,03:59:23,delivered,103425
TXN935717,CUST4817,Shlok Cheema,50,Male,P4336,Wallet,Accessories,3,3381,EMI,2023-12-04,11:58:57,pending,10143
TXN290768,CUST1534,Manjari Sachar,51,Female,P1531,Smartphone,Electronics,4,16188,Cash,2023-12-29,00:57:50,pending,64752
TXN407953,CUST5556,Mehul Rajagopal,33,Male,P4019,Rice,Groceries,2,7250,Credit Card,2023-10-02,04:31:34,returned,14500
TXN744664,CUST1654,Chirag Varkey,58,Male,P3697,Milk,Groceries,3,7863,Credit Card,2023-03-29,08:22:17,delivered,23589
TXN537774,CUST6351,Suhana Johal,40,Male,P8190,Comics,Books,1,222,UPI,2023-11-29,11:37:04,cancelled,222
TXN914203,CUST4649,Sana Issac,20,Male,P1250,Jacket,Clothing,2,4484,Credit Card,2023-11-10,04:34:41,pending,8968
TXN879329,CUST7979,Hrishita Hora,47,Female,P7745,Milk,Groceries,2,2860,Cash,2023-08-20,11:42:56,returned,5720
TXN800853,CUST3837,Oorja Kuruvilla,49,Male,P5431,Textbook,Books,3,2943,Credit Card,2023-01-06,17:36:57,cancelled,8829
TXN980300,CUST6677,Advik Mander,49,Female,P4163,Laptop,Electronics,3,7242,UPI,2023-06-21,22:36:44,cancelled,21726
TXN287554,CUST5485,Zeeshan Sachdeva,51,Male,P9996,Notebook,Books,1,157,Debit Card,2023-08-15,22:11:10,returned,157
TXN186937,CUST6613,Armaan Chaudhary,58,Female,P4046,Textbook,Books,2,1496,UPI,2023-09-14,00:50:47,delivered,2992
TXN107053,CUST6137,Gatik Badal,47,Male,P9216,T-Shirt,Clothing,3,13776,EMI,2023-08-03,01:59:13,pending,41328
TXN787902,CUST2045,Divit Dhar,57,Male,P4414,Fruits,Groceries,2,6732,Debit Card,2023-03-11,17:06:44,returned,13464
TXN920785,CUST3051,Prerak Walla,37,Female,P7679,Wallet,Accessories,1,589,EMI,2023-11-13,09:39:06,pending,589
TXN572799,CUST3128,Tanya Banik,50,Female,P7894,Notebook,Books,3,8904,Credit Card,2023-07-26,21:52:35,cancelled,26712
TXN826731,CUST8285,Shray Gaba,47,Female,P7411,Belt,Accessories,5,8490,Cash,2023-09-18,10:12:34,cancelled,42450
TXN553513,CUST9925,Yuvaan Setty,46,Female,P2998,Magazine,Books,4,18648,Debit Card,2023-02-17,09:37:18,pending,74592
TXN653361,CUST2113,Anahita Vaidya,44,Female,P2902,Fruits,Groceries,2,3008,UPI,2023-11-05,13:03:07,returned,6016
TXN654693,CUST8672,Shanaya Batra,30,Female,P3677,Wheat,Groceries,5,9405,UPI,2023-12-04,09:26:53,cancelled,47025
TXN644136,CUST6480,Aniruddh Sinha,51,Female,P5443,Headphones,Electronics,5,6305,UPI,2023-06-29,17:34:24,returned,31525
TXN189702,CUST8119,Nakul Khare,44,Female,P4116,Jeans,Clothing,1,2776,Debit Card,2023-01-12,17:20:51,returned,2776
TXN749507,CUST9741,Armaan Chahal,30,Male,P7210,Notebook,Books,1,4979,UPI,2023-05-25,21:27:50,cancelled,4979
TXN345551,CUST1932,Indranil Shah,58,Male,P6745,Smartwatch,Electronics,2,7354,Credit Card,2023-03-19,22:35:45,delivered,14708
TXN602834,CUST1109,Ranbir Sane,46,Female,P1769,Wheat,Groceries,5,17945,UPI,2023-01-27,09:42:03,cancelled,89725
TXN563226,CUST3051,Prerak Walla,37,Female,P3933,Wallet,Accessories,2,7724,UPI,2023-04-14,16:24:16,delivered,15448
TXN650789,CUST8364,Advika Subramaniam,44,Male,P2300,Jacket,Clothing,1,1896,Cash,2023-03-27,05:01:54,cancelled,1896
TXN149455,CUST2469,Tushar Subramanian,30,Female,P8478,Smartphone,Electronics,2,3662,Debit Card,2023-01-22,10:37:13,cancelled,7324
TXN613252,CUST7216,Indrajit Johal,20,Female,P6978,Comics,Books,1,1357,EMI,2023-10-09,12:53:04,pending,1357
TXN314768,CUST5974,Shanaya Mane,50,Male,P4084,Chair,Furniture,5,6955,Debit Card,2023-01-19,17:35:12,returned,34775
TXN920032,CUST3665,Mannat Rana,35,Female,P3837,Shirt,Clothing,5,20800,Credit Card,2023-10-24,02:38:47,delivered,104000
TXN743956,CUST6946,Inaaya  Rege,29,Female,P8006,Comics,Books,2,2030,Credit Card,2023-08-27,04:11:06,returned,4060
TXN340100,CUST2081,Tushar Chandran,36,Male,P3853,Jacket,Clothing,5,12345,EMI,2023-09-22,14:36:11,delivered,61725
TXN685700,CUST1982,Prisha Rama,19,Female,P8303,Jacket,Clothing,3,10560,UPI,2023-04-19,16:06:49,cancelled,31680
TXN640516,CUST1982,Prisha Rama,19,Female,P3324,Belt,Accessories,5,10930,EMI,2023-01-16,19:19:54,returned,54650
TXN688465,CUST3192,Gatik Khare,28,Female,P2254,Textbook,Books,3,13575,Credit Card,2023-06-27,00:46:09,returned,40725
TXN752799,CUST5407,Kaira Din,21,Male,P9364,Wardrobe,Furniture,2,1304,UPI,2023-06-14,05:07:59,returned,2608
TXN703458,CUST9201,Indrans Khalsa,35,Female,P7494,Chair,Furniture,3,14067,Cash,2023-06-12,10:34:54,pending,42201
TXN185430,CUST9741,Armaan Chahal,30,Male,P9481,Wheat,Groceries,2,6744,EMI,2023-09-17,00:56:41,cancelled,13488
TXN611187,CUST6817,Uthkarsh Dugar,29,Female,P5626,Headphones,Electronics,5,2985,Credit Card,2023-07-25,23:22:33,pending,14925
TXN475259,CUST2304,Saira Dayal,45,Female,P6524,Shirt,Clothing,1,4446,Credit Card,2023-08-22,12:17:57,cancelled,4446
TXN536476,CUST7981,Amira Kala,28,Male,P6355,Dining Table,Furniture,2,1494,Debit Card,2023-10-21,21:58:51,pending,2988
TXN841293,CUST3458,Trisha Zacharia,60,Male,P7508,Handbag,Accessories,2,8194,Credit Card,2023-09-25,01:07:53,returned,16388
TXN887374,CUST9993,Heer Bhatia,47,Female,P6056,Chair,Furniture,1,2064,Credit Card,2023-01-18,04:26:50,pending,2064
TXN285426,CUST7250,Faiyaz Dubey,18,Male,P2477,Jeans,Clothing,2,7192,Credit Card,2023-08-31,14:11:03,returned,14384
TXN995952,CUST3109,Anahi Apte,29,Male,P9842,Smartwatch,Electronics,5,7420,Credit Card,2023-08-31,19:10:07,pending,37100
TXN647753,CUST8284,Manjari Dhingra,43,Female,P3655,Fruits,Groceries,5,4620,Debit Card,2023-07-23,10:37:52,returned,23100
TXN623587,CUST9459,Jiya Bansal,60,Male,P8448,Novel,Books,4,12544,UPI,2023-10-21,02:30:45,cancelled,50176
TXN680295,CUST3454,Aradhya Chandra,41,Male,P2517,Sunglasses,Accessories,5,20040,EMI,2023-10-10,01:29:32,returned,100200
TXN321386,CUST7325,Zain Chandra,24,Female,P7136,Novel,Books,2,8922,Debit Card,2023-06-13,16:16:51,pending,17844
TXN405206,CUST5926,Urvi Ram,55,Male,P1357,T-Shirt,Clothing,3,2763,Credit Card,2023-06-14,23:54:48,pending,8289
TXN809791,CUST5101,Kartik Khatri,22,Female,P1084,Sunglasses,Accessories,3,14727,Credit Card,2023-06-13,08:48:17,cancelled,44181
TXN849068,CUST4441,Nehmat Gaba,59,Male,P7839,Watch,Accessories,4,17868,Debit Card,2023-06-15,20:15:37,returned,71472
TXN757366,CUST1580,Dhanuk Deep,41,Male,P4455,Sofa,Furniture,1,4787,EMI,2023-10-16,09:30:00,returned,4787
TXN152850,CUST5215,Samaira Sarma,24,Female,P8332,Sofa,Furniture,2,4760,Credit Card,2023-06-19,06:28:28,delivered,9520
TXN988837,CUST4286,Tejas Soni,26,Female,P1330,Milk,Groceries,1,4469,UPI,2023-07-15,17:47:40,pending,4469
TXN624250,CUST6758,Ayesha Sant,56,Female,P3104,Belt,Accessories,3,7287,Cash,2023-05-13,08:10:49,cancelled,21861
TXN109833,CUST5470,Anika Iyer,31,Female,P3408,Shirt,Clothing,4,6760,EMI,2023-10-10,08:24:08,returned,27040
TXN150836,CUST8459,Shamik Sampath,30,Female,P9488,Vegetables,Groceries,3,12618,Debit Card,2023-06-30,08:34:29,cancelled,37854
TXN607091,CUST2113,Anahita Vaidya,44,Female,P4392,Vegetables,Groceries,5,16875,Debit Card,2023-11-04,09:46:07,cancelled,84375
TXN570220,CUST5470,Anika Iyer,31,Female,P2612,Sweater,Clothing,2,7564,UPI,2023-06-16,16:03:10,pending,15128
TXN387971,CUST9671,Mishti Bakshi,41,Female,P1031,Magazine,Books,5,17195,UPI,2023-08-01,03:34:30,returned,85975
TXN403949,CUST8285,Shray Gaba,47,Female,P7568,Chair,Furniture,1,3489,Cash,2023-07-22,05:30:03,cancelled,3489
TXN784290,CUST1925,Samarth Atwal,20,Female,P7000,Belt,Accessories,2,7838,EMI,2023-04-23,00:27:31,returned,15676
TXN370016,CUST6378,Kanav Choudhry,24,Female,P9524,Sunglasses,Accessories,4,13688,Cash,2023-02-10,14:17:22,returned,54752
TXN825728,CUST8052,Riaan Chakrabarti,24,Female,P7132,Dining Table,Furniture,2,7832,Debit Card,2023-01-16,09:08:20,pending,15664
TXN156081,CUST4053,Seher Randhawa,59,Female,P8095,Smartwatch,Electronics,4,2140,Credit Card,2023-05-07,06:15:16,returned,8560
TXN699458,CUST3218,Bhamini Gopal,44,Female,P6602,Handbag,Accessories,2,4804,Credit Card,2023-06-21,16:05:59,pending,9608
TXN131392,CUST2976,Ranbir Kale,39,Female,P4199,Dining Table,Furniture,4,4400,EMI,2023-05-08,22:13:37,delivered,17600
TXN823289,CUST1716,Jhanvi D’Alia,38,Female,P7419,Belt,Accessories,5,22170,Credit Card,2023-07-19,09:01:29,cancelled,110850
TXN200097,CUST7577,Adah Dasgupta,24,Female,P4178,Vegetables,Groceries,5,19600,Credit Card,2023-10-08,10:25:11,pending,98000
TXN654707,CUST7981,Amira Kala,28,Male,P9158,Novel,Books,5,22900,Debit Card,2023-09-04,10:13:39,delivered,114500
TXN729555,CUST5905,Vidur Kadakia,31,Female,P7667,Shirt,Clothing,1,1782,Credit Card,2023-01-03,00:03:02,pending,1782
TXN715726,CUST6701,Indrans Mani,34,Female,P7187,Sweater,Clothing,3,12681,Debit Card,2023-04-14,22:45:57,cancelled,38043
TXN770291,CUST8090,Shanaya Divan,44,Male,P5720,Fruits,Groceries,5,8695,Debit Card,2023-03-20,12:06:39,delivered,43475
TXN200986,CUST2506,Hiran Mand,56,Female,P3552,Jeans,Clothing,2,3404,Credit Card,2023-02-05,23:30:40,delivered,6808
TXN749812,CUST1401,Damini Raju,49,Female,P2348,Dining Table,Furniture,5,2455,Credit Card,2023-04-29,02:25:23,returned,12275
TXN113104,CUST1580,Dhanuk Deep,41,Male,P4427,Novel,Books,2,7042,Debit Card,2023-07-05,17:54:54,pending,14084
TXN134459,CUST9051,Dhanush Mani,28,Female,P9462,Dining Table,Furniture,1,3178,Credit Card,2023-11-06,05:36:05,cancelled,3178
TXN245502,CUST1894,Hiran Tandon,34,Female,P6323,Notebook,Books,2,2694,UPI,2023-09-28,17:48:44,pending,5388
TXN385083,CUST9950,Manikya Rastogi,56,Female,P4388,Novel,Books,1,2180,Credit Card,2023-05-16,08:53:43,delivered,2180
TXN624574,CUST8438,Anahita Desai,33,Female,P4304,Chair,Furniture,2,9200,Credit Card,2023-07-16,12:11:19,returned,18400
